,Annotator Accuracy after Warmup on Boot Data,Annotator F1 Score after Warmup on Boot Data,Annotator Accuracy after Training,Annotator F1 Score after Training
Weighted Average,1.0,[1. 1.],0.8539325842696629,[0.88073394 0.8115942 ]
Maximum Index,1.0,[1. 1.],0.8539325842696629,[0.88073394 0.8115942 ]
