ionosphere-simulated-x
Budget : 0.2
Similarity Threshold : 0.9
Weight Threshold : 0.7


Number of classes : 2


MAPAL RESULTS

     index  train-micro-misclf-rate  test-micro-misclf-rate  train-macro-misclf-rate  test-macro-misclf-rate  n-labeled-samples  n-true-labels-0  n-false-labels-0  n-true-labels-1  n-false-labels-1  n-true-labels-2  n-false-labels-2  n-true-labels-3  n-false-labels-3  n-true-labels  n-false-labels     times
51      51                 0.228571                0.262411                 0.303797                0.393617                 42               11                 4               18                 2                6                 3                6                 1             41              10  0.020050
52      52                 0.223810                0.262411                 0.297468                0.393617                 43               11                 4               19                 2                6                 3                6                 1             42              10  0.019851
53      53                 0.219048                0.262411                 0.291139                0.393617                 44               11                 4               20                 2                6                 3                6                 1             43              10  0.020342
54      54                 0.219048                0.262411                 0.291139                0.393617                 45               11                 5               20                 2                6                 3                6                 1             43              11  0.020037
55      55                 0.219048                0.262411                 0.291139                0.393617                 46               11                 6               20                 2                6                 3                6                 1             43              12  0.019671
56      56                 0.214286                0.262411                 0.284810                0.393617                 47               11                 6               21                 2                6                 3                6                 1             44              12  0.019924
57      57                 0.214286                0.262411                 0.284810                0.393617                 48               11                 7               21                 2                6                 3                6                 1             44              13  0.019635
58      58                 0.209524                0.262411                 0.278481                0.393617                 49               12                 7               21                 2                6                 3                6                 1             45              13  0.020194
59      59                 0.204762                0.262411                 0.272152                0.393617                 50               13                 7               21                 2                6                 3                6                 1             46              13  0.021892
60      60                 0.209524                0.262411                 0.278481                0.393617                 51               13                 8               21                 2                6                 3                6                 1             46              14  0.019655
61      61                 0.214286                0.262411                 0.284810                0.393617                 52               13                 8               21                 3                6                 3                6                 1             46              15  0.020795
62      62                 0.209524                0.262411                 0.278481                0.393617                 53               13                 8               22                 3                6                 3                6                 1             47              15  0.023759
63      63                 0.209524                0.262411                 0.278481                0.393617                 54               13                 8               23                 3                6                 3                6                 1             48              15  0.021200
64      64                 0.214286                0.269504                 0.284810                0.404255                 55               13                 9               23                 3                6                 3                6                 1             48              16  0.019941
65      65                 0.209524                0.269504                 0.278481                0.404255                 56               13                 9               24                 3                6                 3                6                 1             49              16  0.020229
66      66                 0.204762                0.269504                 0.272152                0.404255                 57               13                 9               25                 3                6                 3                6                 1             50              16  0.020227
67      67                 0.200000                0.269504                 0.265823                0.404255                 58               13                 9               26                 3                6                 3                6                 1             51              16  0.020741
68      68                 0.195238                0.269504                 0.259494                0.404255                 59               14                 9               26                 3                6                 3                6                 1             52              16  0.019908
69      69                 0.190476                0.269504                 0.253165                0.404255                 60               15                 9               26                 3                6                 3                6                 1             53              16  0.020157
70      70                 0.190476                0.269504                 0.253165                0.404255                 61               15                10               26                 3                6                 3                6                 1             53              17  0.020635
71      71                 0.185714                0.269504                 0.246835                0.404255                 62               15                10               27                 3                6                 3                6                 1             54              17  0.019654
72      72                 0.185714                0.269504                 0.246835                0.404255                 63               16                10               27                 3                6                 3                6                 1             55              17  0.019281
73      73                 0.180952                0.269504                 0.240506                0.404255                 64               16                10               28                 3                6                 3                6                 1             56              17  0.019716
74      74                 0.176190                0.262411                 0.234177                0.393617                 65               17                10               28                 3                6                 3                6                 1             57              17  0.019548
75      75                 0.176190                0.262411                 0.234177                0.393617                 66               17                11               28                 3                6                 3                6                 1             57              18  0.019920
76      76                 0.176190                0.262411                 0.234177                0.393617                 67               17                12               28                 3                6                 3                6                 1             57              19  0.021127
77      77                 0.171429                0.262411                 0.227848                0.393617                 68               17                12               29                 3                6                 3                6                 1             58              19  0.020023
78      78                 0.166667                0.255319                 0.221519                0.382979                 69               18                12               29                 3                6                 3                6                 1             59              19  0.019587
79      79                 0.161905                0.255319                 0.215190                0.382979                 70               18                12               30                 3                6                 3                6                 1             60              19  0.019488
80      80                 0.157143                0.255319                 0.208861                0.382979                 71               19                12               30                 3                6                 3                6                 1             61              19  0.019758
81      81                 0.152381                0.255319                 0.202532                0.382979                 72               20                12               30                 3                6                 3                6                 1             62              19  0.019022
82      82                 0.147619                0.234043                 0.196203                0.351064                 73               21                12               30                 3                6                 3                6                 1             63              19  0.020205
83      83                 0.142857                0.226950                 0.189873                0.340426                 74               22                12               30                 3                6                 3                6                 1             64              19  0.020655
84      84                 0.142857                0.226950                 0.189873                0.340426                 75               23                12               30                 3                6                 3                6                 1             65              19  0.019812
85      85                 0.147619                0.226950                 0.193690                0.340426                 76               23                12               30                 4                6                 3                6                 1             65              20  0.019846
86      86                 0.147619                0.226950                 0.193690                0.340426                 77               24                12               30                 4                6                 3                6                 1             66              20  0.019289
87      87                 0.142857                0.226950                 0.187361                0.340426                 78               24                12               30                 4                7                 3                6                 1             67              20  0.019488
88      88                 0.133333                0.219858                 0.174703                0.329787                 79               24                12               30                 4                8                 3                6                 1             68              20  0.020733
89      89                 0.128571                0.212766                 0.168374                0.319149                 80               24                12               31                 4                8                 3                6                 1             69              20  0.021421
90      90                 0.128571                0.226950                 0.168374                0.340426                 81               24                12               31                 4                9                 3                6                 1             70              20  0.020205
91      91                 0.123810                0.226950                 0.162045                0.340426                 82               24                12               32                 4                9                 3                6                 1             71              20  0.019557
92      92                 0.123810                0.226950                 0.162045                0.340426                 83               24                12               32                 4                9                 4                6                 1             71              21  0.020489
93      93                 0.123810                0.219858                 0.162045                0.329787                 84               24                12               32                 4               10                 4                6                 1             72              21  0.019536
94      94                 0.123810                0.234043                 0.162045                0.351064                 85               24                13               32                 4               10                 4                6                 1             72              22  0.020140
95      95                 0.123810                0.234043                 0.162045                0.351064                 86               24                13               32                 4               10                 5                6                 1             72              23  0.020183
96      96                 0.119048                0.219858                 0.155716                0.329787                 87               25                13               32                 4               10                 5                6                 1             73              23  0.019544
97      97                 0.119048                0.219858                 0.155716                0.329787                 87               26                13               32                 4               10                 5                6                 1             74              23  0.020960
98      98                 0.119048                0.219858                 0.153203                0.329787                 88               26                13               32                 4               10                 5                7                 1             75              23  0.022838
99      99                 0.123810                0.219858                 0.157020                0.329787                 89               26                13               32                 4               10                 6                7                 1             75              24  0.020480
100    100                 0.123810                0.219858                 0.157020                0.329787                 90               27                13               32                 4               10                 6                7                 1             76              24  0.019986
101    101                 0.152381                0.234043                 0.179921                0.335106                 91               27                13               32                 4               10                 7                7                 1             76              25  0.019611
102    102                 0.161905                0.297872                 0.182530                0.372340                 91               27                14               32                 4               10                 7                7                 1             76              26  0.020111
103    103                 0.180952                0.319149                 0.197797                0.388298                 92               27                14               32                 4               11                 7                7                 1             77              26  0.020150
104    104                 0.195238                0.333333                 0.209247                0.398936                 93               27                14               32                 4               11                 8                7                 1             77              27  0.019878
105    105                 0.185714                0.312057                 0.201614                0.382979                 94               27                14               32                 4               12                 8                7                 1             78              27  0.019863
106    106                 0.195238                0.333333                 0.209247                0.398936                 95               27                14               32                 4               12                 9                7                 1             78              28  0.019523
107    107                 0.233333                0.382979                 0.237269                0.436170                 95               27                14               32                 4               12                10                7                 1             78              29  0.022807
108    108                 0.219048                0.368794                 0.228331                0.425532                 96               28                14               32                 4               12                10                7                 1             79              29  0.020636
109    109                 0.185714                0.319149                 0.204126                0.393617                 96               29                14               32                 4               12                10                7                 1             80              29  0.020376
110    110                 0.161905                0.269504                 0.187554                0.372340                 97               29                14               33                 4               12                10                7                 1             81              29  0.020127
111    111                 0.128571                0.234043                 0.160837                0.345745                 98               29                15               33                 4               12                10                7                 1             81              30  0.020692
112    112                 0.123810                0.226950                 0.157020                0.340426                 99               29                15               34                 4               12                10                7                 1             82              30  0.018025
113    113                 0.119048                0.226950                 0.150691                0.340426                100               29                15               35                 4               12                10                7                 1             83              30  0.018315
114    114                 0.119048                0.226950                 0.150691                0.340426                101               29                15               36                 4               12                10                7                 1             84              30  0.018474
115    115                 0.119048                0.226950                 0.150691                0.340426                101               30                15               36                 4               12                10                7                 1             85              30  0.018328
116    116                 0.119048                0.219858                 0.150691                0.329787                102               30                15               37                 4               12                10                7                 1             86              30  0.018956
117    117                 0.119048                0.219858                 0.150691                0.329787                103               31                15               37                 4               12                10                7                 1             87              30  0.022485
118    118                 0.119048                0.219858                 0.150691                0.329787                103               31                15               37                 4               12                10                8                 1             88              30  0.020037
119    119                 0.114286                0.212766                 0.144362                0.319149                104               32                15               37                 4               12                10                8                 1             89              30  0.018584
120    120                 0.114286                0.212766                 0.144362                0.319149                105               33                15               37                 4               12                10                8                 1             90              30  0.019821
121    121                 0.114286                0.226950                 0.144362                0.340426                106               33                15               37                 4               12                10                9                 1             91              30  0.018864
122    122                 0.114286                0.226950                 0.144362                0.340426                107               33                15               37                 4               12                10               10                 1             92              30  0.018342
123    123                 0.119048                0.234043                 0.150691                0.351064                107               33                15               37                 4               12                10               10                 2             92              31  0.018310
124    124                 0.119048                0.234043                 0.150691                0.351064                108               34                15               37                 4               12                10               10                 2             93              31  0.018221
125    125                 0.119048                0.241135                 0.150691                0.361702                108               34                16               37                 4               12                10               10                 2             93              32  0.017478
126    126                 0.119048                0.241135                 0.150691                0.361702                109               35                16               37                 4               12                10               10                 2             94              32  0.017998
127    127                 0.114286                0.241135                 0.146874                0.361702                109               36                16               37                 4               12                10               10                 2             95              32  0.020899
128    128                 0.114286                0.241135                 0.146874                0.361702                109               36                16               37                 4               12                10               11                 2             96              32  0.019265
129    129                 0.114286                0.241135                 0.146874                0.361702                109               36                16               37                 4               12                10               12                 2             97              32  0.019046
