,No. of Instances,Accuracy,f1-score
0,35,0.8857142857142857,[0.86666667 0.9       ]
2,10,0.9,[0.93333333 0.8       ]
1,24,0.9583333333333334,[0.97560976 0.85714286]
3,19,0.7368421052631579,[0.7826087  0.66666667]
