,No. of Instances,Accuracy,f1-score
0,37,0.8108108108108109,[0.74074074 0.85106383]
2,8,0.875,[0.90909091 0.8       ]
1,9,1.0,[1.]
3,18,0.8888888888888888,[0.88888889 0.88888889]
