,Annotator Accuracy after Warmup on Boot Data,Annotator F1 Score after Warmup on Boot Data,Annotator Accuracy after Training,Annotator F1 Score after Training
Weighted Average,1.0,[1. 1.],0.7916666666666666,[0.80519481 0.7761194 ]
Maximum Index,1.0,[1. 1.],0.8333333333333334,[0.84210526 0.82352941]
