,No. of Instances,Accuracy,f1-score
0,38,0.8421052631578947,0.8344725449988607
3,26,0.8846153846153846,0.9078144078144077
1,27,0.8888888888888888,0.7441558441558441
2,15,0.9333333333333333,0.9199999999999999
