,No. of similar Instances,Accuracy,f1-score
81,2,0.0,0.0
82,2,0.0,0.0
111,1,1.0,1.0
74,1,1.0,1.0
130,1,1.0,1.0
52,1,1.0,1.0
129,1,1.0,1.0
133,2,0.0,0.0
63,1,1.0,1.0
138,2,0.5,0.6666666666666666
65,2,0.0,0.0
87,1,1.0,1.0
142,1,1.0,1.0
