,Annotator Accuracy after Warmup on Boot Data,Annotator F1 Score after Warmup on Boot Data,Annotator Accuracy after Training,Annotator F1 Score after Training
Weighted Average,0.75,0.8333333333333333,0.7058823529411765,[0.36363636 0.79245283 0.68421053]
Maximum Index,0.75,0.8333333333333333,0.8431372549019608,[0.57142857 0.9122807  0.78947368]
