index,train-micro-misclf-rate,test-micro-misclf-rate,train-macro-misclf-rate,test-macro-misclf-rate,n-labeled-samples,n-true-labels-0,n-false-labels-0,n-true-labels-1,n-false-labels-1,n-true-labels-2,n-false-labels-2,n-true-labels-3,n-false-labels-3,n-true-labels-4,n-false-labels-4,n-true-labels,n-false-labels,times
96,0.27419354838709675,0.28225806451612906,0.30750405425328026,0.30560070560070557,21,16,5,7,12,7,12,6,11,19,1,55,41,0.000993967056274414
97,0.2849462365591398,0.31451612903225806,0.31808606483529084,0.33775593775593776,21,16,5,7,13,7,12,6,11,19,1,55,42,4.100799560546875e-05
98,0.2956989247311828,0.31451612903225806,0.3224482775566367,0.33775593775593776,21,16,5,7,13,7,13,6,11,19,1,55,43,4.100799560546875e-05
99,0.2903225806451613,0.31451612903225806,0.32337707012629613,0.33775593775593776,21,16,5,7,13,7,13,6,12,19,1,55,44,3.600120544433594e-05
100,0.2849462365591398,0.31451612903225806,0.31808606483529084,0.33775593775593776,21,16,5,7,13,7,13,6,12,20,1,56,44,4.00543212890625e-05
101,0.2849462365591398,0.3064516129032258,0.31808606483529084,0.33262773262773265,22,17,5,7,13,7,13,6,12,20,1,57,44,0.0010190010070800781
102,0.2849462365591398,0.3064516129032258,0.31808606483529084,0.3426510426510427,22,17,5,8,13,7,13,6,12,20,1,58,44,4.00543212890625e-05
103,0.27419354838709675,0.29838709677419356,0.30750405425328026,0.33364203364203365,22,17,5,8,13,7,14,6,12,20,1,58,45,3.504753112792969e-05
104,0.27956989247311825,0.3064516129032258,0.31279505954428555,0.3526743526743527,22,17,5,8,13,7,14,6,12,21,1,59,45,4.100799560546875e-05
105,0.26881720430107525,0.2661290322580645,0.3056939734958311,0.3076293076293076,23,18,5,8,13,7,14,6,12,21,1,60,45,0.0010020732879638672
106,0.26344086021505375,0.28225806451612906,0.3004029682048258,0.32790902790902793,23,18,5,8,13,7,14,6,12,22,1,61,45,3.3855438232421875e-05
107,0.26344086021505375,0.28225806451612906,0.3004029682048258,0.33178983178983185,24,19,5,8,13,7,14,6,12,22,1,62,45,0.00031495094299316406
108,0.26881720430107525,0.27419354838709675,0.3056939734958311,0.3266616266616267,24,19,5,8,13,7,14,6,12,23,1,63,45,3.2901763916015625e-05
109,0.26344086021505375,0.2661290322580645,0.3004029682048258,0.3137718137718138,25,20,5,8,13,7,14,6,12,23,1,64,45,0.0002989768981933594
110,0.25268817204301075,0.2661290322580645,0.2898209576228152,0.30601020601020607,25,20,5,8,13,7,14,6,12,24,1,65,45,3.1948089599609375e-05
111,0.26344086021505375,0.29838709677419356,0.29766409487771717,0.34656964656964656,26,21,5,8,13,7,14,6,12,24,1,66,45,0.0003268718719482422
112,0.26344086021505375,0.28225806451612906,0.29766409487771717,0.3162666162666163,26,21,5,8,13,7,14,6,12,24,2,66,46,3.3855438232421875e-05
113,0.26881720430107525,0.29838709677419356,0.30158566350516813,0.3365463365463366,27,21,6,8,13,7,14,6,12,24,2,66,47,0.00030422210693359375
114,0.26881720430107525,0.28225806451612906,0.30158566350516813,0.30624330624330626,27,21,6,8,13,7,14,6,12,25,2,67,47,3.1948089599609375e-05
115,0.26881720430107525,0.28225806451612906,0.30369715137516995,0.30624330624330626,28,22,6,8,13,7,14,6,12,25,2,68,47,0.00029015541076660156
116,0.25268817204301075,0.28225806451612906,0.2878241355021541,0.30624330624330626,28,22,6,8,13,7,14,6,12,26,2,69,47,3.0040740966796875e-05
117,0.25806451612903225,0.2903225806451613,0.29311514079315937,0.3152523152523153,29,22,7,8,13,7,14,6,12,26,2,69,48,0.00028705596923828125
118,0.25268817204301075,0.2903225806451613,0.28919357216570835,0.3152523152523153,29,22,7,8,13,7,14,6,12,27,2,70,48,3.0040740966796875e-05
119,0.25268817204301075,0.2903225806451613,0.2905630088292627,0.31913311913311915,30,23,7,8,13,7,14,6,12,27,2,71,48,0.0002880096435546875
120,0.25806451612903225,0.28225806451612906,0.29585401412026796,0.314004914004914,30,23,7,8,13,7,14,6,12,28,2,72,48,3.2901763916015625e-05
121,0.22580645161290322,0.25,0.2641079823742362,0.277968877968878,31,24,7,8,13,7,14,6,12,28,2,73,48,0.00030303001403808594
122,0.23655913978494625,0.25806451612903225,0.2746899929562468,0.28697788697788695,31,24,7,8,13,7,14,6,12,28,3,73,49,3.4809112548828125e-05
123,0.23655913978494625,0.25806451612903225,0.27817091748980294,0.28697788697788695,32,25,7,8,13,7,14,6,12,28,3,74,49,0.0003077983856201172
124,0.24731182795698925,0.25,0.29919570167248183,0.277968877968878,32,25,7,8,13,7,14,6,12,29,3,75,49,3.0994415283203125e-05
125,0.25268817204301075,0.25806451612903225,0.3044867069634871,0.28697788697788695,33,25,8,8,13,7,14,6,12,29,3,75,50,0.00030994415283203125
126,0.23655913978494625,0.2661290322580645,0.2712090684226907,0.29598689598689604,33,25,8,8,13,7,14,6,12,30,3,76,50,3.218650817871094e-05
127,0.23118279569892472,0.25,0.27287991219879765,0.277968877968878,34,26,8,8,13,7,14,6,12,30,3,77,50,0.0003306865692138672
128,0.25268817204301075,0.25,0.30796763149704326,0.2841113841113841,34,26,8,8,13,7,14,6,12,31,3,78,50,3.1948089599609375e-05
129,0.24731182795698925,0.23387096774193547,0.2887529280718135,0.2538083538083538,35,27,8,8,13,7,14,6,12,31,3,79,50,0.0003027915954589844
130,0.24731182795698925,0.24193548387096775,0.2852720035382574,0.26281736281736284,35,27,8,8,13,7,14,6,12,32,3,80,50,3.409385681152344e-05
131,0.25806451612903225,0.25,0.30281586318738024,0.26794556794556795,36,28,8,8,13,7,14,6,12,32,3,81,50,0.0003151893615722656
132,0.24731182795698925,0.25,0.2922338526053696,0.26794556794556795,36,28,8,8,13,7,14,6,12,33,3,82,50,3.1948089599609375e-05
133,0.24731182795698925,0.25,0.29571477713892574,0.26794556794556795,37,29,8,8,13,7,14,6,12,33,3,83,50,0.00030612945556640625
134,0.25806451612903225,0.2661290322580645,0.30355791439382773,0.29824859824859823,37,29,8,8,13,7,14,6,12,34,3,84,50,3.361701965332031e-05
135,0.24193548387096775,0.2661290322580645,0.28768489852081186,0.29824859824859823,38,30,8,8,13,7,14,6,12,34,3,85,50,0.0003070831298828125
136,0.23655913978494625,0.2661290322580645,0.28239389322980657,0.29824859824859823,38,30,8,8,13,7,14,6,12,35,3,86,50,3.409385681152344e-05
