index,train-micro-misclf-rate,test-micro-misclf-rate,train-macro-misclf-rate,test-macro-misclf-rate,n-labeled-samples,n-true-labels-0,n-false-labels-0,n-true-labels-1,n-false-labels-1,n-true-labels-2,n-false-labels-2,n-true-labels-3,n-false-labels-3,n-true-labels,n-false-labels,times
0,0.7613412228796844,0.7669616519174042,0.7544940877114205,0.7874448315540098,0,0,0,0,0,0,0,0,0,0,0,0.0
1,0.7416173570019724,0.7463126843657817,0.75,0.75,1,0,0,1,0,0,0,0,0,1,0,9.822845458984375e-05
2,0.7416173570019724,0.7463126843657817,0.75,0.75,1,1,0,1,0,0,0,0,0,2,0,0.00012993812561035156
3,0.7416173570019724,0.7463126843657817,0.75,0.75,1,1,0,1,0,0,1,0,0,2,1,0.00012993812561035156
4,0.7416173570019724,0.7463126843657817,0.75,0.75,1,1,0,1,0,0,1,1,0,3,1,0.00013184547424316406
5,0.6272189349112426,0.6460176991150443,0.6184955470737913,0.63158669414189,2,1,0,1,0,0,1,2,0,4,1,0.00015306472778320312
6,0.6548323471400395,0.6843657817109144,0.6748157087262386,0.6798780487804879,2,1,0,1,1,0,1,2,0,4,2,0.00013899803161621094
7,0.7396449704142012,0.7463126843657817,0.7479166666666667,0.75,2,1,0,1,1,0,2,2,0,4,3,0.00014019012451171875
8,0.6272189349112426,0.6460176991150443,0.6184955470737913,0.63158669414189,2,2,0,1,1,0,2,2,0,5,3,0.00013780593872070312
9,0.6193293885601578,0.6253687315634219,0.6084128498727736,0.6144072135260011,3,2,0,1,2,0,2,2,0,5,4,0.00021076202392578125
10,0.6252465483234714,0.6519174041297935,0.6165871501272264,0.6379158080659405,3,3,0,1,2,0,2,2,0,6,4,0.000164031982421875
11,0.6252465483234714,0.6519174041297935,0.6165871501272264,0.6379158080659405,3,3,0,1,2,1,2,2,0,7,4,0.00013899803161621094
12,0.6252465483234714,0.6519174041297935,0.6165871501272264,0.6379158080659405,3,3,0,1,2,1,2,3,0,8,4,0.00013208389282226562
13,0.6252465483234714,0.640117994100295,0.6153625954198473,0.6281837554875785,4,3,0,2,2,1,2,3,0,9,4,0.00014090538024902344
14,0.6252465483234714,0.640117994100295,0.6146628498727735,0.6283733409274168,4,4,0,2,2,1,2,3,0,10,4,0.000125885009765625
15,0.6291913214990138,0.6430678466076696,0.6184796437659033,0.6316594885512793,4,4,0,2,2,1,2,4,0,11,4,0.00014019012451171875
16,0.6370808678500987,0.6430678466076696,0.6259382951653943,0.6318490739911174,4,4,0,2,2,2,2,4,0,12,4,0.00016808509826660156
17,0.6528599605522682,0.6784660766961652,0.6482029262086514,0.6739450410208496,5,4,0,3,2,2,2,4,0,13,4,0.00017571449279785156
18,0.6607495069033531,0.6814159292035398,0.6568861323155216,0.6769200125430367,5,5,0,3,2,2,2,4,0,14,4,0.00015997886657714844
19,0.6528599605522682,0.6814159292035398,0.6482029262086514,0.6766624323251974,5,5,0,3,2,2,3,4,0,14,5,0.0001380443572998047
20,0.6607495069033531,0.6784660766961652,0.6568861323155216,0.6740130357988506,5,5,0,3,2,2,3,5,0,15,5,0.00013113021850585938
21,0.6193293885601578,0.6283185840707964,0.618879097440503,0.6217583562753113,6,5,0,4,2,2,3,5,0,16,5,0.00019502639770507812
22,0.6272189349112426,0.640117994100295,0.6270730429576411,0.6333862632520554,6,5,0,4,2,2,3,6,0,17,5,0.00014495849609375
23,0.621301775147929,0.6371681415929203,0.6215583370752882,0.6303374827642506,6,6,0,4,2,2,3,6,0,18,5,0.0001399517059326172
24,0.6252465483234714,0.6371681415929203,0.6252348076635235,0.6303374827642506,6,6,0,4,2,2,4,6,0,18,6,0.0001499652862548828
25,0.6587771203155819,0.672566371681416,0.657010552312528,0.6743148662768066,7,6,0,4,2,3,4,6,0,19,6,0.00016069412231445312
26,0.6627218934911243,0.6696165191740413,0.6607571845532106,0.6728231954712707,7,6,0,5,2,3,4,6,0,20,6,0.0001761913299560547
27,0.6607495069033531,0.6755162241887905,0.658918949259093,0.6783737545541868,7,6,1,5,2,3,4,6,0,20,7,0.0001552104949951172
28,0.6410256410256411,0.6755162241887905,0.6476444394551714,0.6727720189138254,7,6,1,5,2,3,4,6,1,20,8,0.0001418590545654297
