index,train-micro-misclf-rate,test-micro-misclf-rate,train-macro-misclf-rate,test-macro-misclf-rate,n-labeled-samples,n-true-labels-0,n-false-labels-0,n-true-labels-1,n-false-labels-1,n-true-labels-2,n-false-labels-2,n-true-labels-3,n-false-labels-3,n-true-labels,n-false-labels,times
0,0.5212636695018226,0.47176684881602915,0.4990458698089354,0.5071939533000405,0,0,0,0,0,0,0,0,0,0,0,0.0
1,0.4507897934386391,0.4353369763205829,0.5,0.5,1,0,0,0,0,0,0,1,0,1,0,0.17900300025939941
2,0.12636695018226002,0.14207650273224043,0.1160103046060635,0.12724389256309893,2,0,0,0,0,1,0,1,0,2,0,0.1191718578338623
3,0.08140947752126367,0.07468123861566485,0.08474166925076927,0.07762855985963019,3,0,0,1,0,1,0,1,0,3,0,0.11323404312133789
4,0.08262454434993925,0.06739526411657559,0.08488180712258188,0.06686462410581726,3,1,0,1,0,1,0,1,0,4,0,0.10331892967224121
5,0.09356014580801944,0.09289617486338798,0.09411301672113159,0.08848697530031044,4,2,0,1,0,1,0,1,0,5,0,0.09911227226257324
6,0.10935601458080195,0.10564663023679417,0.10897657610380937,0.10169388581454988,5,3,0,1,0,1,0,1,0,6,0,0.09357094764709473
7,0.1385176184690158,0.1657559198542805,0.12683073730410513,0.1482116344985828,6,4,0,1,0,1,0,1,0,7,0,0.08954119682312012
8,0.11786148238153099,0.1366120218579235,0.10802542756959187,0.12240518288567959,7,4,0,1,0,2,0,1,0,8,0,0.0862128734588623
9,0.17861482381530985,0.20036429872495445,0.1633351620828662,0.17885679578890537,8,4,0,1,0,2,1,1,0,8,1,0.08394479751586914
10,0.13973268529769137,0.151183970856102,0.12793693199437062,0.13530840869213118,9,5,0,1,0,2,1,1,0,9,1,0.08613991737365723
11,0.07168894289185905,0.08196721311475409,0.06647305774872982,0.07545552706168174,10,6,0,1,0,2,1,1,0,10,1,0.08217906951904297
12,0.11057108140947752,0.12386156648451731,0.10162977363261216,0.11111486030503442,10,6,0,2,0,2,1,1,0,11,1,0.0836648941040039
