index,train-micro-misclf-rate,test-micro-misclf-rate,train-macro-misclf-rate,test-macro-misclf-rate,n-labeled-samples,n-true-labels-0,n-false-labels-0,n-true-labels-1,n-false-labels-1,n-true-labels-2,n-false-labels-2,n-true-labels-3,n-false-labels-3,n-true-labels-4,n-false-labels-4,n-true-labels,n-false-labels,times
916,0.11690363349131122,0.16587677725118483,0.12388009049773754,0.16968336950088775,469,176,49,151,37,169,46,59,45,125,59,680,236,0.044119834899902344
917,0.11848341232227488,0.16350710900473933,0.12505656108597285,0.16785855198263958,470,176,49,152,37,169,46,59,45,125,59,681,236,0.04105329513549805
918,0.11690363349131122,0.16587677725118483,0.12388009049773754,0.16968336950088775,470,176,49,152,37,169,46,59,45,126,59,682,236,0.04394388198852539
919,0.11690363349131122,0.16350710900473933,0.12388009049773754,0.16785855198263958,470,176,49,153,37,169,46,59,45,126,59,683,236,0.040701866149902344
920,0.11690363349131122,0.16350710900473933,0.12388009049773754,0.16785855198263958,470,177,49,153,37,169,46,59,45,126,59,684,236,0.04372596740722656
921,0.11690363349131122,0.16350710900473933,0.12388009049773754,0.16785855198263958,470,177,49,154,37,169,46,59,45,126,59,685,236,0.04325509071350098
922,0.11690363349131122,0.16350710900473933,0.12388009049773754,0.16785855198263958,470,178,49,154,37,169,46,59,45,126,59,686,236,0.04261922836303711
923,0.11690363349131122,0.16113744075829384,0.12388009049773754,0.1660337344643914,470,179,49,154,37,169,46,59,45,126,59,687,236,0.041602134704589844
924,0.11690363349131122,0.16350710900473933,0.12388009049773754,0.1694121128427698,470,180,49,154,37,169,46,59,45,126,59,688,236,0.041259050369262695
925,0.11532385466034756,0.16350710900473933,0.12270361990950227,0.1694121128427698,470,180,49,154,37,169,46,59,45,127,59,689,236,0.040467023849487305
926,0.11690363349131122,0.16350710900473933,0.12388009049773754,0.1694121128427698,471,180,49,154,37,169,47,59,45,127,59,689,237,0.040001630783081055
927,0.11690363349131122,0.16587677725118483,0.12388009049773754,0.17123693036101795,471,180,50,154,37,169,47,59,45,127,59,689,238,0.043623924255371094
928,0.11848341232227488,0.16587677725118483,0.12505656108597285,0.16968336950088775,471,180,50,154,37,170,47,59,45,127,59,690,238,0.042800188064575195
929,0.11532385466034756,0.16113744075829384,0.12270361990950227,0.1660337344643914,471,180,50,154,37,171,47,59,45,127,59,691,238,0.04360508918762207
930,0.11532385466034756,0.16350710900473933,0.12270361990950227,0.1694121128427698,471,180,50,155,37,171,47,59,45,127,59,692,238,0.04144787788391113
931,0.11690363349131122,0.16350710900473933,0.1251074660633484,0.1694121128427698,471,180,50,155,37,171,47,59,45,127,60,692,239,0.04258608818054199
932,0.11690363349131122,0.16587677725118483,0.1251074660633484,0.17279049122114815,471,180,50,155,37,171,47,59,46,127,60,692,240,0.041390180587768555
933,0.11848341232227488,0.16587677725118483,0.12628393665158372,0.17434405208127834,471,180,50,156,37,171,47,59,46,127,60,693,240,0.042487144470214844
934,0.11848341232227488,0.16587677725118483,0.12628393665158372,0.17434405208127834,471,181,50,156,37,171,47,59,46,127,60,694,240,0.04125070571899414
935,0.11848341232227488,0.16587677725118483,0.12628393665158372,0.17434405208127834,471,181,50,156,37,172,47,59,46,127,60,695,240,0.04109597206115723
936,0.11848341232227488,0.16587677725118483,0.12628393665158372,0.17434405208127834,471,181,50,156,37,172,47,59,46,128,60,696,240,0.04240107536315918
937,0.12006319115323855,0.16587677725118483,0.12868778280542986,0.17434405208127834,471,181,50,156,37,173,47,59,46,128,60,697,240,0.040741920471191406
938,0.12006319115323855,0.16350710900473933,0.12868778280542986,0.17096567370289997,471,182,50,156,37,173,47,59,46,128,60,698,240,0.0414118766784668
939,0.11848341232227488,0.15876777251184834,0.12628393665158372,0.1642089169461432,471,182,50,157,37,173,47,59,46,128,60,699,240,0.04525589942932129
