,Annotator Accuracy after Warmup on Boot Data,Annotator F1 Score after Warmup on Boot Data,Annotator Accuracy after Training,Annotator F1 Score after Training
Weighted Average,0.7333333333333333,[0.8 0.6],0.8617021276595744,[0.88888889 0.81690141]
Maximum Index,0.8,[0.86956522 0.57142857],0.8723404255319149,[0.89830508 0.82857143]
