,No. of Instances,Accuracy,f1-score
0,58,0.8620689655172413,[0.87096774 0.85185185]
2,17,0.9411764705882353,[0.96774194 0.66666667]
1,2,1.0,[1.]
3,2,0.5,[0.66666667 0.        ]
