,Annotator Accuracy after Warmup on Boot Data,Annotator F1 Score after Warmup on Boot Data,Annotator Accuracy after Training,Annotator F1 Score after Training
Weighted Average,0.8,0.8571428571428571,0.734375,0.7999999999999998
Maximum Index,0.8,0.8571428571428571,0.765625,0.8351648351648352
