,No. of Instances,Accuracy,f1-score
0,55,0.7818181818181819,[0.72727273 0.81818182]
2,18,0.8333333333333334,[0.84210526 0.82352941]
1,12,1.0,[1.]
3,37,0.7837837837837838,[0.69230769 0.83333333]
