,Annotator Accuracy after Warmup on Boot Data,Annotator F1 Score after Warmup on Boot Data,Annotator Accuracy after Training,Annotator F1 Score after Training
Weighted Average,1.0,[1. 1.],0.832,[0.73417722 0.87719298]
Maximum Index,0.75,[0.5        0.83333333],0.8,[0.70588235 0.84848485]
