,No. of Instances,Accuracy,f1-score
1,40,0.875,[0.7826087 0.9122807]
4,13,0.8461538461538461,[0.75       0.88888889]
5,3,1.0,[1. 1.]
3,27,0.8518518518518519,[0.75       0.89473684]
0,17,0.8235294117647058,[0.72727273 0.86956522]
2,12,0.6666666666666666,[0.5  0.75]
