,Annotator Accuracy after Warmup on Boot Data,Annotator F1 Score after Warmup on Boot Data,Annotator Accuracy after Training,Annotator F1 Score after Training
Weighted Average,0.8,0.5714285714285715,0.8666666666666667,0.8285714285714286
Maximum Index,0.8,0.5714285714285715,0.8444444444444444,0.8055555555555555
