,No. of similar Instances,Accuracy,f1-score
195,2,1.0,1.0
424,2,0.5,0.6666666666666666
275,6,0.3333333333333333,0.0
2,1,1.0,1.0
248,11,0.5454545454545454,0.0
428,2,1.0,1.0
457,4,0.25,0.4
432,3,0.6666666666666666,0.8
37,2,1.0,0.0
334,6,1.0,0.0
357,5,0.8,0.0
169,1,0.0,0.0
468,3,0.3333333333333333,0.5
313,1,0.0,0.0
36,1,1.0,0.0
512,2,1.0,0.0
155,2,1.0,1.0
472,1,1.0,1.0
433,1,1.0,1.0
178,2,0.5,0.0
48,1,0.0,0.0
440,1,1.0,1.0
471,1,1.0,1.0
199,1,1.0,0.0
481,1,1.0,1.0
441,1,0.0,0.0
84,2,1.0,0.0
