,Annotator Accuracy after Warmup on Boot Data,Annotator F1 Score after Warmup on Boot Data,Annotator Accuracy after Training,Annotator F1 Score after Training
Weighted Average,1.0,[1. 1.],0.8195488721804511,[0.80327869 0.83333333]
Maximum Index,1.0,[1. 1.],0.8195488721804511,[0.8        0.83561644]
