,No. of Instances,Accuracy,f1-score
0,48,0.7916666666666666,[0.72222222 0.83333333]
2,30,0.8,[0.8 0.8]
1,25,0.8,[0.84848485 0.70588235]
3,27,0.9629629629629629,[0.95652174 0.96774194]
