,Annotator Accuracy after Warmup on Boot Data,Annotator F1 Score after Warmup on Boot Data,Annotator Accuracy after Training,Annotator F1 Score after Training
Weighted Average,0.6,0.5927405927405927,0.5947368421052631,0.5965627144219259
Maximum Index,0.6,0.5927405927405927,0.7157894736842105,0.7168367346938777
