,No. of Instances,Accuracy,f1-score
0,90,0.7777777777777778,0.7743055555555556
3,26,0.8846153846153846,0.8781746031746032
2,21,0.7142857142857143,0.7160714285714286
1,31,0.7096774193548387,0.7120614035087719
