,Annotator Accuracy after Warmup on Boot Data,Annotator F1 Score after Warmup on Boot Data,Annotator Accuracy after Training,Annotator F1 Score after Training
Weighted Average,0.8,0.6458333333333333,0.6816326530612244,0.6346529916536837
Maximum Index,0.85,0.7647727272727273,0.6979591836734694,0.6561197457816579
