iris-simulated-x
Budget : 0.4
Similarity Threshold : 0.9
Weight Threshold : 0.7


Number of classes : 3


MAPAL RESULTS

     index  train-micro-misclf-rate  test-micro-misclf-rate  train-macro-misclf-rate  test-macro-misclf-rate  n-labeled-samples  n-true-labels-0  n-false-labels-0  n-true-labels-1  n-false-labels-1  n-true-labels-2  n-false-labels-2  n-true-labels-3  n-false-labels-3  n-true-labels-4  n-false-labels-4  n-true-labels  n-false-labels     times
47      47                 0.533333                0.483333                 0.522939                0.499123                 30                2                 7                4                 3                3                 5                7                 6                8                 2             24              23  0.013133
48      48                 0.522222                0.483333                 0.511828                0.499123                 30                2                 7                4                 3                3                 5                7                 6                9                 2             25              23  0.013517
49      49                 0.522222                0.483333                 0.511828                0.499123                 30                2                 7                5                 3                3                 5                7                 6                9                 2             26              23  0.012827
50      50                 0.511111                0.483333                 0.500717                0.498329                 31                2                 7                5                 3                4                 5                7                 6                9                 2             27              23  0.012628
51      51                 0.477778                0.483333                 0.468459                0.497452                 32                2                 7                5                 3                4                 5                8                 6                9                 2             28              23  0.012816
52      52                 0.377778                0.466667                 0.371685                0.479908                 33                2                 7                5                 3                4                 5                9                 6                9                 2             29              23  0.012586
53      53                 0.433333                0.483333                 0.425448                0.497452                 34                2                 7                5                 3                4                 5                9                 7                9                 2             29              24  0.013072
54      54                 0.388889                0.466667                 0.382437                0.479908                 35                2                 7                5                 3                4                 5               10                 7                9                 2             30              24  0.012812
55      55                 0.355556                0.433333                 0.349821                0.445698                 36                2                 7                6                 3                4                 5               10                 7                9                 2             31              24  0.011809
56      56                 0.377778                0.450000                 0.372809                0.461571                 37                2                 7                6                 3                4                 5               10                 7                9                 3             31              25  0.012211
57      57                 0.377778                0.450000                 0.372809                0.461571                 38                2                 7                6                 3                4                 6               10                 7                9                 3             31              26  0.012030
58      58                 0.388889                0.450000                 0.384304                0.461571                 38                2                 7                6                 4                4                 6               10                 7                9                 3             31              27  0.012052
59      59                 0.388889                0.450000                 0.384304                0.461571                 39                2                 8                6                 4                4                 6               10                 7                9                 3             31              28  0.019421
60      60                 0.355556                0.416667                 0.350970                0.428237                 40                2                 8                7                 4                4                 6               10                 7                9                 3             32              28  0.016299
61      61                 0.333333                0.400000                 0.328748                0.411571                 41                2                 8                7                 4                5                 6               10                 7                9                 3             33              28  0.012322
62      62                 0.344444                0.400000                 0.339859                0.411571                 41                2                 8                7                 4                5                 6               11                 7                9                 3             34              28  0.012541
63      63                 0.322222                0.383333                 0.317637                0.394904                 41                3                 8                7                 4                5                 6               11                 7                9                 3             35              28  0.012614
64      64                 0.322222                0.400000                 0.317637                0.411571                 42                3                 8                7                 4                5                 6               11                 8                9                 3             35              29  0.011733
65      65                 0.288889                0.400000                 0.284304                0.411571                 42                3                 8                7                 4                5                 6               12                 8                9                 3             36              29  0.012201
66      66                 0.288889                0.350000                 0.284304                0.361571                 43                3                 8                8                 4                5                 6               12                 8                9                 3             37              29  0.011804
67      67                 0.266667                0.300000                 0.262464                0.311571                 43                3                 8                9                 4                5                 6               12                 8                9                 3             38              29  0.011456
68      68                 0.277778                0.300000                 0.273576                0.311571                 44                3                 8                9                 4                5                 6               13                 8                9                 3             39              29  0.011647
69      69                 0.277778                0.366667                 0.273192                0.378237                 45                3                 8                9                 4                5                 6               13                 8               10                 3             40              29  0.011942
70      70                 0.300000                0.333333                 0.295415                0.344904                 46                3                 9                9                 4                5                 6               13                 8               10                 3             40              30  0.012272
71      71                 0.322222                0.366667                 0.317637                0.378237                 47                3                10                9                 4                5                 6               13                 8               10                 3             40              31  0.012343
72      72                 0.333333                0.366667                 0.328390                0.378237                 47                3                10                9                 5                5                 6               13                 8               10                 3             40              32  0.011213
73      73                 0.322222                0.366667                 0.317637                0.378237                 47                3                10                9                 5                5                 6               14                 8               10                 3             41              32  0.011954
74      74                 0.322222                0.366667                 0.317637                0.378237                 47                3                10                9                 6                5                 6               14                 8               10                 3             41              33  0.012161
75      75                 0.322222                0.366667                 0.317637                0.378237                 47                3                11                9                 6                5                 6               14                 8               10                 3             41              34  0.012078
76      76                 0.311111                0.350000                 0.306143                0.362364                 48                3                11                9                 6                6                 6               14                 8               10                 3             42              34  0.011848
77      77                 0.288889                0.333333                 0.283154                0.346491                 48                3                11                9                 6                7                 6               14                 8               10                 3             43              34  0.011405
78      78                 0.300000                0.333333                 0.294648                0.346491                 48                3                11                9                 6                7                 6               14                 8               10                 4             43              35  0.011589
79      79                 0.322222                0.333333                 0.317637                0.346491                 48                3                11                9                 6                7                 6               14                 8               10                 5             43              36  0.011660
80      80                 0.333333                0.366667                 0.328390                0.378237                 48                3                11                9                 6                7                 7               14                 8               10                 5             43              37  0.010913
81      81                 0.322222                0.350000                 0.317637                0.360693                 49                3                11                9                 6                7                 7               15                 8               10                 5             44              37  0.010308
82      82                 0.322222                0.366667                 0.317637                0.378237                 50                3                11                9                 6                7                 7               15                 9               10                 5             44              38  0.010542
83      83                 0.300000                0.333333                 0.295415                0.344904                 50                4                11                9                 6                7                 7               15                 9               10                 5             45              38  0.009669
84      84                 0.311111                0.333333                 0.306526                0.344904                 50                4                12                9                 6                7                 7               15                 9               10                 5             45              39  0.013399
85      85                 0.288889                0.366667                 0.284304                0.378237                 50                4                12                9                 6                7                 7               15                 9               11                 5             46              39  0.013003
86      86                 0.266667                0.316667                 0.262081                0.327444                 50                4                12                9                 6                7                 7               15                 9               12                 5             47              39  0.010342
87      87                 0.277778                0.383333                 0.275108                0.390936                 50                4                12                9                 6                7                 7               15                 9               12                 6             47              40  0.037148
88      88                 0.266667                0.316667                 0.262464                0.327444                 50                4                12               10                 6                7                 7               15                 9               12                 6             48              40  0.010254
89      89                 0.244444                0.316667                 0.240242                0.327444                 51                4                12               11                 6                7                 7               15                 9               12                 6             49              40  0.009987
