,No. of similar Instances,Similar Instances,Similar Instances Shared Label,Accuracy,f1-score,Annotator
43,2,"[2, 219]",2,0.0,0.0,0
210,1,[33],0,1.0,1.0,0
33,3,"[234, 36, 212]",0,0.3333333333333333,0.25,0
296,1,[215],1,1.0,1.0,0
227,1,[253],1,1.0,1.0,0
192,1,[143],0,0.0,0.0,0
23,2,"[10, 305]",0,0.5,0.3333333333333333,0
84,1,[65],2,1.0,1.0,2
268,3,"[275, 55, 30]",1,0.3333333333333333,0.25,1
103,1,[169],2,1.0,1.0,1
136,1,[128],2,1.0,1.0,1
46,1,[25],0,1.0,1.0,1
116,1,[190],2,1.0,1.0,4
161,3,"[69, 94, 129]",2,1.0,1.0,4
281,1,[238],1,1.0,1.0,4
45,1,[213],0,0.0,0.0,4
246,1,[241],1,1.0,1.0,4
48,1,[54],0,1.0,1.0,4
274,1,[1],1,0.0,0.0,4
255,2,"[152, 170]",1,0.0,0.0,4
253,1,[22],1,0.0,0.0,4
276,4,"[46, 56, 218, 274]",1,0.5,0.3333333333333333,3
183,1,[134],2,1.0,1.0,3
50,2,"[13, 118]",0,0.5,0.3333333333333333,3
141,1,[76],0,0.0,0.0,3
