,No. of Instances,Accuracy,f1-score
3,52,0.7307692307692307,0.6180186962795658
2,29,0.6206896551724138,0.47487922705314006
0,91,0.6483516483516484,0.5050815392038509
1,39,0.8205128205128205,0.7026687598116169
