,Annotator Accuracy after Warmup on Boot Data,Annotator F1 Score after Warmup on Boot Data,Annotator Accuracy after Training,Annotator F1 Score after Training
Weighted Average,0.8333333333333334,0.8333333333333333,0.5616438356164384,0.45918517652560203
Maximum Index,0.8333333333333334,0.6,0.6164383561643836,0.4985556197383482
