,No. of similar Instances,Accuracy,f1-score
100,3,0.0,0.0
139,7,0.8571428571428571,0.4615384615384615
72,3,0.0,0.0
23,2,0.5,0.3333333333333333
182,3,0.0,0.0
190,2,0.5,0.3333333333333333
21,1,0.0,0.0
191,1,1.0,1.0
81,1,0.0,0.0
167,1,0.0,0.0
140,1,1.0,1.0
