,No. of Instances,Accuracy,f1-score
4,13,0.7692307692307693,0.5681818181818182
0,1,1.0,1.0
1,2,0.5,0.3333333333333333
3,6,0.8333333333333334,0.5555555555555555
2,3,1.0,1.0
