,No. of Instances,Accuracy,f1-score
0,28,0.75,[0.74074074 0.75862069]
2,17,1.0,[1. 1.]
3,6,1.0,[1. 1.]
1,10,0.8,[0.5   0.875]
4,4,1.0,[1. 1.]
