MAPAL RESULTS

parkinsons-simulated-x
Budget : 0.4

Number of classes : 2


     index  train-micro-misclf-rate  test-micro-misclf-rate  train-macro-misclf-rate  test-macro-misclf-rate  n-labeled-samples  n-true-labels-0  n-false-labels-0  n-true-labels-1  n-false-labels-1  n-true-labels-2  n-false-labels-2  n-true-labels-3  n-false-labels-3  n-true-labels-4  n-false-labels-4  n-true-labels  n-false-labels     times
47      47                 0.230769                0.230769                 0.326923                0.326299                 35                2                 2                3                 1               11                 3               10                 5                7                 3             33              14  0.013797
48      48                 0.230769                0.230769                 0.326923                0.326299                 36                2                 3                3                 1               11                 3               10                 5                7                 3             33              15  0.013563
49      49                 0.222222                0.205128                 0.321429                0.308442                 37                2                 3                4                 1               11                 3               10                 5                7                 3             34              15  0.013410
50      50                 0.230769                0.205128                 0.340659                0.308442                 38                2                 3                4                 2               11                 3               10                 5                7                 3             34              16  0.013219
51      51                 0.239316                0.205128                 0.346154                0.308442                 39                2                 3                4                 2               11                 4               10                 5                7                 3             34              17  0.013130
52      52                 0.230769                0.179487                 0.340659                0.290584                 40                2                 3                4                 2               12                 4               10                 5                7                 3             35              17  0.013330
53      53                 0.230769                0.179487                 0.340659                0.290584                 41                2                 3                4                 2               13                 4               10                 5                7                 3             36              17  0.013191
54      54                 0.230769                0.179487                 0.340659                0.290584                 42                2                 3                4                 2               14                 4               10                 5                7                 3             37              17  0.013519
55      55                 0.230769                0.179487                 0.340659                0.290584                 43                2                 3                4                 2               15                 4               10                 5                7                 3             38              17  0.013405
56      56                 0.230769                0.179487                 0.340659                0.290584                 43                2                 3                4                 2               16                 4               10                 5                7                 3             39              17  0.014024
57      57                 0.230769                0.179487                 0.340659                0.290584                 44                2                 3                4                 2               16                 4               10                 5                8                 3             40              17  0.014175
58      58                 0.247863                0.192308                 0.379121                0.313312                 45                2                 3                4                 2               16                 5               10                 5                8                 3             40              18  0.013436
59      59                 0.256410                0.192308                 0.398352                0.313312                 45                2                 3                4                 3               16                 5               10                 5                8                 3             40              19  0.013340
60      60                 0.256410                0.192308                 0.398352                0.313312                 46                2                 3                4                 3               16                 5               10                 6                8                 3             40              20  0.013453
