,Annotator Accuracy after Warmup on Boot Data,Annotator F1 Score after Warmup on Boot Data,Annotator Accuracy after Training,Annotator F1 Score after Training
Weighted Average,0.8,[0.66666667 0.85714286],0.7014925373134329,[0.6        0.76190476]
Maximum Index,0.8,[0.66666667 0.85714286],0.7611940298507462,[0.63636364 0.82222222]
