,Annotator Accuracy after Warmup on Boot Data,Annotator F1 Score after Warmup on Boot Data,Annotator Accuracy after Training,Annotator F1 Score after Training
Weighted Average,0.3333333333333333,0.35555555555555557,0.6666666666666666,0.616583511522927
Maximum Index,0.5,0.43333333333333335,0.7727272727272727,0.7557248507529182
