,No. of Instances,Accuracy,f1-score
5,19,0.8421052631578947,0.7584795321637428
4,10,0.5,0.4166666666666667
0,6,0.5,0.38888888888888884
1,6,1.0,1.0
3,2,1.0,1.0
2,10,1.0,1.0
