,No. of Instances,Accuracy,f1-score
1,9,0.5555555555555556,0.5333333333333333
4,26,0.8846153846153846,0.8723112128146454
3,16,0.4375,0.3434343434343434
2,16,0.8125,0.8193732193732194
0,26,0.9230769230769231,0.9248366013071895
