,Annotator Accuracy after Warmup on Boot Data,Annotator F1 Score after Warmup on Boot Data,Annotator Accuracy after Training,Annotator F1 Score after Training
Weighted Average,0.8888888888888888,0.8412698412698413,0.6407766990291263,0.6374518385516029
Maximum Index,1.0,1.0,0.7281553398058253,0.7258064516129034
