,Annotator Accuracy after Warmup on Boot Data,Annotator F1 Score after Warmup on Boot Data,Annotator Accuracy after Training,Annotator F1 Score after Training
Weighted Average,0.8,[0.85714286 0.66666667],0.688622754491018,[0.75471698 0.57377049]
Maximum Index,0.8,[0.86956522 0.57142857],0.7784431137724551,[0.83700441 0.65420561]
