,No. of Instances,Accuracy,f1-score
3,51,0.8235294117647058,0.8300657225987794
0,69,0.6666666666666666,0.614286926891969
1,72,0.8611111111111112,0.6554118790373292
2,88,0.7954545454545454,0.5521275041562193
