,Annotator Accuracy after Warmup on Boot Data,Annotator F1 Score after Warmup on Boot Data,Annotator Accuracy after Training,Annotator F1 Score after Training
Weighted Average,0.4782608695652174,0.47602946760841497,0.6991404011461319,0.6355185975778631
Maximum Index,0.5362318840579711,0.52739683766163,0.7220630372492837,0.67192754919021
