,Annotator Accuracy after Warmup on Boot Data,Annotator F1 Score after Warmup on Boot Data,Annotator Accuracy after Training,Annotator F1 Score after Training
Weighted Average,0.75,0.5555555555555555,0.41379310344827586,0.3599240265906933
Maximum Index,0.75,0.5555555555555555,0.4827586206896552,0.41798941798941797
