,No. of Instances,Accuracy,f1-score
0,17,0.7058823529411765,0.761904761904762
2,22,0.9090909090909091,0.9473684210526315
3,2,1.0,1.0
1,13,0.7692307692307693,0.7272727272727272
4,10,0.7,0.7692307692307692
