,No. of similar Instances,Similar Instances,Similar Instances Shared Label,Accuracy,f1-score,Annotator
6,2,"[15, 46]",0,1.0,1.0,3
46,1,[32],0,1.0,1.0,3
10,1,[0],1,0.0,0.0,3
12,2,"[41, 20]",0,1.0,1.0,0
