,Annotator Accuracy after Warmup on Boot Data,Annotator F1 Score after Warmup on Boot Data,Annotator Accuracy after Training,Annotator F1 Score after Training
Weighted Average,0.75,0.5555555555555555,0.6,0.4142857142857143
Maximum Index,0.5,0.4444444444444444,0.6,0.3957671957671958
