,Annotator Accuracy after Warmup on Boot Data,Annotator F1 Score after Warmup on Boot Data,Annotator Accuracy after Training,Annotator F1 Score after Training
Weighted Average,0.9354838709677419,[0.95       0.90909091],0.8762886597938144,[0.88990826 0.85882353]
Maximum Index,0.9354838709677419,[0.95       0.90909091],0.8969072164948454,[0.90909091 0.88095238]
