,No. of Instances,Accuracy,f1-score
0,94,0.925531914893617,[0.93457944 0.91358025]
1,35,0.9714285714285714,[0.97560976 0.96551724]
4,16,0.875,[0.88888889 0.85714286]
2,21,0.8571428571428571,[0.88       0.82352941]
3,6,0.6666666666666666,[0.75 0.5 ]
