,No. of similar Instances,Accuracy,f1-score
76,9,0.7777777777777778,0.43750000000000006
142,4,0.75,0.42857142857142855
50,5,1.0,1.0
0,2,0.0,0.0
131,1,0.0,0.0
34,1,0.0,0.0
38,1,0.0,0.0
119,2,0.5,0.3333333333333333
8,1,0.0,0.0
83,1,1.0,1.0
109,2,1.0,1.0
141,4,0.25,0.13333333333333333
143,2,1.0,1.0
21,2,0.0,0.0
70,1,0.0,0.0
15,1,1.0,1.0
139,1,1.0,1.0
