,Annotator Accuracy after Warmup on Boot Data,Annotator F1 Score after Warmup on Boot Data,Annotator Accuracy after Training,Annotator F1 Score after Training
Weighted Average,0.4,0.3333333333333333,0.38666666666666666,0.3787318624527927
Maximum Index,0.6,0.611111111111111,0.64,0.6346093993152817
