,No. of Instances,Accuracy,f1-score
0,16,0.875,[0.85714286 0.88888889]
1,18,0.7222222222222222,[0.54545455 0.8       ]
2,12,0.8333333333333334,[0.83333333 0.83333333]
3,3,1.0,[1. 1.]
