,Annotator Accuracy after Warmup on Boot Data,Annotator F1 Score after Warmup on Boot Data,Annotator Accuracy after Training,Annotator F1 Score after Training
Weighted Average,0.8333333333333334,[0.8        0.85714286],0.8507462686567164,[0.83870968 0.86111111]
Maximum Index,0.8333333333333334,[0.8        0.85714286],0.8507462686567164,[0.83870968 0.86111111]
