,After Warmup Accuracy on Boot Data,After Warmup F1 Score on Boot Data,After Warmup Accuracy on Validation Data,After Warmup F1 Score on Validation Data,After Training Accuracy on Validation Data,After Training F1 Score on Validation Data
Annotator Model,1.0,1.0,0.3948051948051948,0.3930542254144441,0.548051948051948,0.566920656602562
W Optimal,0.9642857142857143,0.9642857142857143,0.38441558441558443,0.3820039102697585,0.5428571428571428,0.5539197585460204
Majority,1.0,1.0,0.3948051948051948,0.3930542254144441,0.5454545454545454,0.5660378406338328
True Labels,1.0,1.0,0.3948051948051948,0.3930542254144441,0.5766233766233766,0.5874412470978053
