,Annotator Accuracy after Warmup on Boot Data,Annotator F1 Score after Warmup on Boot Data,Annotator Accuracy after Training,Annotator F1 Score after Training
Weighted Average,0.16666666666666666,0.13333333333333333,0.6571428571428571,0.47700293533626864
Maximum Index,0.16666666666666666,0.13333333333333333,0.7714285714285715,0.6220577098236674
