,No. of similar Instances,Accuracy,f1-score
104,1,0.0,0.0
139,2,0.0,0.0
23,1,1.0,1.0
100,1,0.0,0.0
37,2,0.0,0.0
191,3,0.3333333333333333,0.16666666666666666
3,1,0.0,0.0
157,1,0.0,0.0
120,2,0.0,0.0
70,2,0.0,0.0
201,1,0.0,0.0
15,1,1.0,1.0
119,1,0.0,0.0
115,4,1.0,1.0
83,1,1.0,1.0
209,1,0.0,0.0
2,3,0.0,0.0
46,1,0.0,0.0
61,1,1.0,1.0
